flow_psh,fpkts_per_second,total_bhlen,flow_iat_max,backward_packet_length_max,forward_iat_std,total_length_of_forward_packets,backward_packet_length_std,forward_iat_min,total_fhlen,total_length_of_backward_packets,total_backward_packets,forward_iat_max,forward_packet_length_mean,backward_iat_min,flow_iat_min,backward_packet_length_min,flow_syn,bpkts_per_second,flow_protocol,forward_iat_total,forward_packet_length_min,backward_iat_max,flow_iat_total,flow_urg,flow_fin,flow_ece,forward_packet_length_std,backward_packet_length_mean,flow_iat_std,flow_ack,backward_iat_total,backward_iat_mean,flow_rst,total_forward_packets,flow_packets_per_second,backward_iat_std,flow_cwr,forward_iat_mean,flow_iat_mean,forward_packet_length_max,reconnaissance,infection,action
0,2.0,50,8.511543273925781e-05,-1,0.0,116,-1,8.511543273925781e-05,0,0,0,8.511543273925781e-05,58.0,-1,8.511543273925781e-05,-1,2,0.0,6,8.511543273925781e-05,58,-1,8.511543273925781e-05,0,0,0,0.0,0,0.0,0,0,-1,0,2,2.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.033057451248168945,-1,0.01,232,-1,0.0009210109710693359,0,0,0,0.033057451248168945,58.0,-1,0.0009210109710693359,-1,4,0.0,6,0.03583359718322754,58,-1,0.03583359718322754,0,0,0,0.0,0,0.01,0,0,-1,0,4,4.0,-1,0,0.01,0.01,58,1,0,0
0,3.0,75,0.0018565654754638672,-1,0.0,174,-1,0.0009212493896484375,0,0,0,0.0018565654754638672,58.0,-1,0.0009212493896484375,-1,3,0.0,6,0.0027778148651123047,58,-1,0.0027778148651123047,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018427371978759766,-1,0.0,174,-1,0.0009064674377441406,0,0,0,0.0018427371978759766,58.0,-1,0.0009064674377441406,-1,3,0.0,6,0.002749204635620117,58,-1,0.002749204635620117,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.001840353012084961,-1,0.0,174,-1,0.0009024143218994141,0,0,0,0.001840353012084961,58.0,-1,0.0009024143218994141,-1,3,0.0,6,0.002742767333984375,58,-1,0.002742767333984375,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018401145935058594,-1,0.0,174,-1,0.0009012222290039062,0,0,0,0.0018401145935058594,58.0,-1,0.0009012222290039062,-1,3,0.0,6,0.0027413368225097656,58,-1,0.0027413368225097656,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018391609191894531,-1,0.0,174,-1,0.0009014606475830078,0,0,0,0.0018391609191894531,58.0,-1,0.0009014606475830078,-1,3,0.0,6,0.002740621566772461,58,-1,0.002740621566772461,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018379688262939453,-1,0.0,174,-1,0.0009007453918457031,0,0,0,0.0018379688262939453,58.0,-1,0.0009007453918457031,-1,3,0.0,6,0.0027387142181396484,58,-1,0.0027387142181396484,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018372535705566406,-1,0.0,174,-1,0.0008997917175292969,0,0,0,0.0018372535705566406,58.0,-1,0.0008997917175292969,-1,3,0.0,6,0.0027370452880859375,58,-1,0.0027370452880859375,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018384456634521484,-1,0.0,174,-1,0.0009002685546875,0,0,0,0.0018384456634521484,58.0,-1,0.0009002685546875,-1,3,0.0,6,0.0027387142181396484,58,-1,0.0027387142181396484,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018396377563476562,-1,0.0,174,-1,0.0009012222290039062,0,0,0,0.0018396377563476562,58.0,-1,0.0009012222290039062,-1,3,0.0,6,0.0027408599853515625,58,-1,0.0027408599853515625,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
0,3.0,75,0.0018398761749267578,-1,0.0,174,-1,0.0009009838104248047,0,0,0,0.0018398761749267578,58.0,-1,0.0009009838104248047,-1,3,0.0,6,0.0027408599853515625,58,-1,0.0027408599853515625,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,58,1,0,0
